CaseID,Activity,Duration,Duration Float,Time to conclusion,Passed Time,Step
Case 1223,Assign seriousness,0 days 00:00:00,0.0,44.0031,0.0,1
Case 1223,Take in charge ticket,0 days 00:00:09,0.0001,44.003,30.9907,2
Case 1223,Resolve ticket,0 days 04:29:59,0.1875,43.8155,42.8832,3
Case 1223,Take in charge ticket,0 days 22:22:29,0.9323,42.8832,43.8155,4
Case 1223,Resolve ticket,11 days 21:25:15,11.8925,30.9907,44.003,5
Case 1223,Closed,30 days 23:46:35,30.9907,0.0,44.0031,6
Case 1703,Assign seriousness,0 days 00:00:00,0.0,44.0835,0.0,1
Case 1703,Take in charge ticket,14 days 01:59:41,14.0831,30.0004,30.0003,2
Case 1703,Resolve ticket,0 days 00:00:05,0.0001,30.0003,30.0004,3
Case 1703,Closed,30 days 00:00:29,30.0003,0.0,44.0835,4
Case 4505,Assign seriousness,0 days 00:00:00,0.0,33.0043,0.0,1
Case 4505,Take in charge ticket,0 days 00:00:13,0.0002,33.0041,33.004,2
Case 4505,Resolve ticket,0 days 00:00:06,0.0001,33.004,33.0041,3
Case 4505,Closed,33 days 00:05:45,33.004,0.0,33.0043,4
Case 2441,Assign seriousness,13 days 06:07:46,13.2554,17.7453,0.0,1
Case 2441,Take in charge ticket,0 days 00:00:06,0.0001,17.7452,17.7451,2
Case 2441,Resolve ticket,0 days 00:00:05,0.0001,17.7451,17.7452,3
Case 2441,Closed,17 days 17:52:53,17.7451,0.0,17.7453,4
Case 588,Assign seriousness,0 days 00:00:00,0.0,31.9385,0.0,1
Case 588,Take in charge ticket,15 days 06:32:21,15.2725,16.666,15.0002,2
Case 588,Resolve ticket,1 days 15:58:46,1.6658,15.0002,16.666,3
Case 588,Closed,15 days 00:00:20,15.0002,0.0,31.9385,4
Case 1400,Assign seriousness,0 days 00:00:00,0.0,44.0025,-0.0,1
Case 1400,Take in charge ticket,0 days 00:00:12,0.0001,44.0024,44.0023,2
Case 1400,Resolve ticket,0 days 00:00:06,0.0001,44.0023,44.0024,3
Case 1400,Closed,44 days 00:03:19,44.0023,-0.0,44.0025,4
Case 1196,Assign seriousness,0 days 00:00:00,0.0,46.002,0.0,1
Case 1196,Take in charge ticket,13 days 06:04:00,13.2528,32.7492,32.7486,2
Case 1196,Resolve ticket,0 days 00:00:53,0.0006,32.7486,32.7492,3
Case 1196,Closed,32 days 17:57:58,32.7486,0.0,46.002,4
Case 1468,Assign seriousness,31 days 02:10:18,31.0905,15.0531,0.0,1
Case 1468,Take in charge ticket,0 days 00:00:07,0.0001,15.053,15.0002,2
Case 1468,Resolve ticket,0 days 01:16:03,0.0528,15.0002,15.053,3
Case 1468,Closed,15 days 00:00:15,15.0002,0.0,15.0531,4
Case 189,Assign seriousness,0 days 00:15:02,0.0104,43.9904,0.0,1
Case 189,Take in charge ticket,1 days 00:22:52,1.0159,42.9745,42.9744,2
Case 189,Resolve ticket,0 days 00:00:09,0.0001,42.9744,42.9745,3
Case 189,Closed,42 days 23:23:10,42.9744,0.0,43.9904,4
Case 4378,Assign seriousness,0 days 00:00:15,0.0002,58.0933,-0.0,1
Case 4378,Take in charge ticket,12 days 01:59:28,12.083,46.0103,44.9586,2
Case 4378,Wait,0 days 00:00:09,0.0001,46.0102,45.0763,3
Case 4378,Take in charge ticket,0 days 22:24:51,0.9339,45.0763,46.0102,4
Case 4378,Resolve ticket,0 days 02:49:30,0.1177,44.9586,46.0103,5
Case 4378,Closed,44 days 23:00:22,44.9586,-0.0,58.0933,6
Case 3806,Assign seriousness,0 days 00:00:00,0.0,37.0477,-0.0,1
Case 3806,Take in charge ticket,0 days 00:00:15,0.0002,37.0475,15.0001,2
Case 3806,Wait,0 days 00:44:32,0.0309,37.0166,15.0259,3
Case 3806,Take in charge ticket,21 days 23:46:33,21.9907,15.0259,37.0166,4
Case 3806,Resolve ticket,0 days 00:37:09,0.0258,15.0001,37.0475,5
Case 3806,Closed,15 days 00:00:11,15.0001,-0.0,37.0477,6
Case 1030,Assign seriousness,0 days 00:00:13,0.0002,33.1838,-0.0,1
Case 1030,Take in charge ticket,0 days 00:00:18,0.0002,33.1836,15.0002,2
Case 1030,Create SW anomaly,0 days 00:00:10,0.0001,33.1835,33.1835,3
Case 1030,Resolve ticket,18 days 04:23:58,18.1833,15.0002,33.1836,4
Case 1030,Closed,15 days 00:00:13,15.0002,-0.0,33.1838,5
Case 1798,Assign seriousness,0 days 00:00:00,0.0,55.1482,0.0,1
Case 1798,Take in charge ticket,0 days 00:13:05,0.0091,55.1391,14.9585,2
Case 1798,Create SW anomaly,0 days 00:00:08,0.0001,55.139,55.139,3
Case 1798,Resolve ticket,40 days 04:19:53,40.1805,14.9585,55.1391,4
Case 1798,Closed,14 days 23:00:12,14.9585,0.0,55.1482,5
Case 2088,Assign seriousness,0 days 00:00:00,0.0,55.1467,-0.0,1
Case 2088,Take in charge ticket,0 days 00:23:43,0.0165,55.1302,14.9585,2
Case 2088,Create SW anomaly,0 days 00:00:07,0.0001,55.1301,55.1301,3
Case 2088,Resolve ticket,40 days 04:07:05,40.1716,14.9585,55.1302,4
Case 2088,Closed,14 days 23:00:13,14.9585,-0.0,55.1467,5
Case 765,Assign seriousness,0 days 00:00:00,0.0,34.2458,0.0,1
Case 765,Take in charge ticket,6 days 23:58:30,6.999,27.2468,15.0004,2
Case 765,Resolve ticket,12 days 05:54:50,12.2464,15.0004,27.2468,3
Case 765,Closed,15 days 00:00:34,15.0004,0.0,34.2458,4
Case 2131,Assign seriousness,0 days 00:00:00,0.0,46.007,0.0,1
Case 2131,Take in charge ticket,11 days 06:01:06,11.2508,34.7562,34.7561,2
Case 2131,Resolve ticket,0 days 00:00:09,0.0001,34.7561,34.7562,3
Case 2131,Closed,34 days 18:08:50,34.7561,0.0,46.007,4
Case 1191,Assign seriousness,0 days 00:00:00,0.0,47.7105,-0.0,1
Case 1191,Take in charge ticket,0 days 00:05:02,0.0035,47.707,29.9587,2
Case 1191,Wait,0 days 00:00:28,0.0003,47.7067,30.6344,3
Case 1191,Take in charge ticket,17 days 01:44:06,17.0723,30.6344,47.7067,4
Case 1191,Resolve ticket,0 days 16:12:58,0.6757,29.9587,47.707,5
Case 1191,Closed,29 days 23:00:31,29.9587,-0.0,47.7105,6
Case 81,Assign seriousness,0 days 00:00:00,0.0,58.9646,-0.0,1
Case 81,Take in charge ticket,0 days 00:03:25,0.0024,58.9622,48.9644,2
Case 81,Wait,0 days 00:01:15,0.0009,58.9613,48.9646,3
Case 81,Take in charge ticket,9 days 23:55:13,9.9967,48.9646,58.9613,4
Case 81,Resolve ticket,0 days 00:00:20,0.0002,48.9644,58.9622,5
Case 81,Closed,48 days 23:08:43,48.9644,-0.0,58.9646,6
Case 3918,Assign seriousness,0 days 00:00:00,0.0,43.2713,-0.0,1
Case 3918,Take in charge ticket,28 days 06:30:23,28.2711,15.0002,15.0002,2
Case 3918,Resolve ticket,0 days 00:00:04,0.0,15.0002,15.0002,3
Case 3918,Closed,15 days 00:00:18,15.0002,-0.0,43.2713,4
Case 899,Assign seriousness,0 days 00:00:00,0.0,56.0352,0.0,1
Case 899,Take in charge ticket,0 days 00:00:18,0.0002,56.035,14.9584,2
Case 899,Create SW anomaly,0 days 00:00:16,0.0002,56.0348,14.9606,3
Case 899,Resolve ticket,41 days 01:46:29,41.0739,14.9609,14.9607,4
Case 899,Take in charge ticket,0 days 00:00:19,0.0002,14.9607,14.9609,5
Case 899,Create SW anomaly,0 days 00:00:06,0.0001,14.9606,56.0348,6
Case 899,Resolve ticket,0 days 00:03:13,0.0022,14.9584,56.035,7
Case 899,Closed,14 days 23:00:08,14.9584,0.0,56.0352,8
Case 1130,Assign seriousness,0 days 00:00:00,0.0,47.9614,-0.0,1
Case 1130,Take in charge ticket,0 days 00:00:07,0.0001,47.9613,47.9612,2
Case 1130,Resolve ticket,0 days 00:00:07,0.0001,47.9612,47.9613,3
Case 1130,Closed,47 days 23:04:05,47.9612,-0.0,47.9614,4
Case 3849,Assign seriousness,0 days 00:00:00,0.0,52.6533,-0.0,1
Case 3849,Take in charge ticket,37 days 16:31:05,37.6883,14.965,14.9584,2
Case 3849,Resolve ticket,0 days 00:09:31,0.0066,14.9584,14.965,3
Case 3849,Closed,14 days 23:00:07,14.9584,-0.0,52.6533,4
Case 360,Assign seriousness,0 days 00:00:00,0.0,49.6589,0.0,1
Case 360,Take in charge ticket,14 days 00:23:28,14.0163,35.6426,14.9585,2
Case 360,Resolve ticket,20 days 16:25:04,20.6841,14.9585,35.6426,3
Case 360,Closed,14 days 23:00:14,14.9585,0.0,49.6589,4
Case 3238,Assign seriousness,0 days 00:00:00,0.0,48.9641,0.0,1
Case 3238,Take in charge ticket,6 days 03:07:56,6.1305,42.8336,14.9585,2
Case 3238,Wait,0 days 00:00:04,0.0,42.8336,14.9586,3
Case 3238,Take in charge ticket,27 days 21:00:03,27.875,14.9586,42.8336,4
Case 3238,Resolve ticket,0 days 00:00:06,0.0001,14.9585,42.8336,5
Case 3238,Closed,14 days 23:00:14,14.9585,0.0,48.9641,6
Case 10,Assign seriousness,0 days 00:00:00,0.0,51.9565,0.0,1
Case 10,Take in charge ticket,36 days 23:56:46,36.9978,14.9587,14.9586,2
Case 10,Resolve ticket,0 days 00:00:07,0.0001,14.9586,14.9587,3
Case 10,Closed,14 days 23:00:25,14.9586,0.0,51.9565,4
Case 864,Assign seriousness,0 days 00:00:00,0.0,57.9346,0.0,1
Case 864,Take in charge ticket,12 days 00:14:17,12.0099,45.9247,29.9586,2
Case 864,Wait,0 days 00:36:39,0.0255,45.8992,29.9587,3
Case 864,Take in charge ticket,15 days 22:34:17,15.9405,29.9587,45.8992,4
Case 864,Resolve ticket,0 days 00:00:05,0.0001,29.9586,45.9247,5
Case 864,Closed,29 days 23:00:19,29.9586,0.0,57.9346,6
Case 4290,Assign seriousness,0 days 00:00:00,0.0,31.0015,0.0,1
Case 4290,Take in charge ticket,13 days 06:00:24,13.2503,17.7512,17.7396,2
Case 4290,Resolve ticket,0 days 00:16:41,0.0116,17.7396,17.7512,3
Case 4290,Closed,17 days 17:44:59,17.7396,0.0,31.0015,4
Case 2817,Assign seriousness,0 days 00:00:00,0.0,46.1694,-0.0,1
Case 2817,Take in charge ticket,5 days 07:04:31,5.2948,40.8746,29.9586,2
Case 2817,Resolve ticket,10 days 21:59:02,10.916,29.9586,40.8746,3
Case 2817,Closed,29 days 23:00:24,29.9586,-0.0,46.1694,4
Case 3168,Assign seriousness,0 days 00:00:00,0.0,49.9927,0.0,1
Case 3168,Take in charge ticket,5 days 07:03:02,5.2938,44.6989,14.9585,2
Case 3168,Resolve ticket,29 days 17:46:08,29.7404,14.9585,44.6989,3
Case 3168,Closed,14 days 23:00:15,14.9585,0.0,49.9927,4
Case 151,Assign seriousness,0 days 00:00:00,0.0,31.0034,0.0,1
Case 151,Take in charge ticket,0 days 00:08:05,0.0056,30.9978,30.9977,2
Case 151,Resolve ticket,0 days 00:00:11,0.0001,30.9977,30.9978,3
Case 151,Closed,30 days 23:56:37,30.9977,0.0,31.0034,4
Case 1652,Assign seriousness,13 days 23:04:57,13.9618,34.2127,0.0,1
Case 1652,Take in charge ticket,0 days 00:04:46,0.0033,34.2094,14.9586,2
Case 1652,Resolve ticket,19 days 06:01:06,19.2508,14.9586,34.2094,3
Case 1652,Closed,14 days 23:00:22,14.9586,0.0,34.2127,4
Case 166,Assign seriousness,0 days 00:00:00,0.0,44.0012,-0.0,1
Case 166,Take in charge ticket,12 days 08:07:38,12.3386,31.6626,31.6625,2
Case 166,Resolve ticket,0 days 00:00:08,0.0001,31.6625,31.6626,3
Case 166,Closed,31 days 15:53:59,31.6625,-0.0,44.0012,4
Case 2933,Assign seriousness,0 days 00:00:00,0.0,31.0061,0.0,1
Case 2933,Take in charge ticket,2 days 21:30:45,2.8964,28.1097,28.1096,2
Case 2933,Resolve ticket,0 days 00:00:10,0.0001,28.1096,28.1097,3
Case 2933,Closed,28 days 02:37:46,28.1096,0.0,31.0061,4
Case 2635,Assign seriousness,0 days 00:00:00,0.0,31.0017,0.0,1
Case 2635,Take in charge ticket,0 days 00:00:13,0.0002,31.0015,31.0014,2
Case 2635,Resolve ticket,0 days 00:00:08,0.0001,31.0014,31.0015,3
Case 2635,Closed,31 days 00:01:59,31.0014,0.0,31.0017,4
Case 430,Assign seriousness,0 days 00:00:00,0.0,31.0076,0.0,1
Case 430,Take in charge ticket,0 days 00:00:08,0.0001,31.0075,31.0074,2
Case 430,Resolve ticket,0 days 00:00:10,0.0001,31.0074,31.0075,3
Case 430,Closed,31 days 00:10:41,31.0074,0.0,31.0076,4
Case 1352,Assign seriousness,0 days 00:00:00,0.0,31.0025,0.0,1
Case 1352,Take in charge ticket,0 days 22:41:00,0.9451,30.0574,30.0573,2
Case 1352,Resolve ticket,0 days 00:00:06,0.0001,30.0573,30.0574,3
Case 1352,Closed,30 days 01:22:35,30.0573,0.0,31.0025,4
Case 2979,Assign seriousness,0 days 00:00:00,0.0,45.9635,-0.0,1
Case 2979,Take in charge ticket,5 days 23:00:31,5.9587,40.0048,40.0047,2
Case 2979,Resolve ticket,0 days 00:00:05,0.0001,40.0047,40.0048,3
Case 2979,Closed,40 days 00:06:44,40.0047,-0.0,45.9635,4
Case 3332,Assign seriousness,0 days 00:00:00,0.0,33.0062,0.0,1
Case 3332,Take in charge ticket,4 days 07:39:19,4.319,28.6872,15.9346,2
Case 3332,Resolve ticket,12 days 18:03:48,12.7526,15.9346,28.6872,3
Case 3332,Closed,15 days 22:25:50,15.9346,0.0,33.0062,4
Case 2664,Assign seriousness,0 days 00:00:00,0.0,33.0906,-0.0,1
Case 2664,Take in charge ticket,18 days 02:10:09,18.0904,15.0002,15.0001,2
Case 2664,Resolve ticket,0 days 00:00:07,0.0001,15.0001,15.0002,3
Case 2664,Closed,15 days 00:00:12,15.0001,-0.0,33.0906,4
Case 1399,Assign seriousness,0 days 00:00:00,0.0,33.0016,-0.0,1
Case 1399,Take in charge ticket,0 days 00:00:08,0.0001,33.0015,33.0014,2
Case 1399,Resolve ticket,0 days 00:00:06,0.0001,33.0014,33.0015,3
Case 1399,Closed,33 days 00:02:01,33.0014,-0.0,33.0016,4
Case 3571,Assign seriousness,0 days 00:00:13,0.0002,36.9652,0.0,1
Case 3571,Wait,0 days 00:08:02,0.0056,36.9596,31.7468,2
Case 3571,Take in charge ticket,5 days 05:06:04,5.2125,31.7471,31.7471,3
Case 3571,Resolve ticket,0 days 00:00:30,0.0003,31.7468,36.9596,4
Case 3571,Closed,31 days 17:55:21,31.7468,0.0,36.9652,5
Case 2865,Assign seriousness,0 days 00:00:00,0.0,33.005,-0.0,1
Case 2865,Take in charge ticket,0 days 00:12:40,0.0088,32.9962,32.9961,2
Case 2865,Resolve ticket,0 days 00:00:06,0.0001,32.9961,32.9962,3
Case 2865,Closed,32 days 23:54:20,32.9961,-0.0,33.005,4
Case 2559,Assign seriousness,0 days 00:00:11,0.0001,47.9665,-0.0,1
Case 2559,Take in charge ticket,4 days 02:52:51,4.12,43.8465,43.8464,2
Case 2559,Resolve ticket,0 days 00:00:05,0.0001,43.8464,43.8465,3
Case 2559,Closed,43 days 20:18:52,43.8464,-0.0,47.9665,4
Case 2383,Assign seriousness,0 days 00:00:00,0.0,35.928,-0.0,1
Case 2383,Take in charge ticket,20 days 03:32:01,20.1472,15.7808,15.0002,2
Case 2383,Resolve ticket,0 days 18:44:08,0.7806,15.0002,15.7808,3
Case 2383,Closed,15 days 00:00:18,15.0002,-0.0,35.928,4
Case 3068,Assign seriousness,0 days 00:00:00,0.0,39.9648,0.0,1
Case 3068,Take in charge ticket,3 days 02:50:24,3.1183,36.8465,36.8464,2
Case 3068,Resolve ticket,0 days 00:00:06,0.0001,36.8464,36.8465,3
Case 3068,Closed,36 days 20:18:49,36.8464,0.0,39.9648,4
Case 1701,Assign seriousness,13 days 22:55:31,13.9552,18.0962,0.0,1
Case 1701,Take in charge ticket,0 days 00:54:50,0.0381,18.0581,17.8081,2
Case 1701,Resolve ticket,0 days 05:59:56,0.25,17.8081,18.0581,3
Case 1701,Closed,17 days 19:23:43,17.8081,0.0,18.0962,4
Case 4207,Insert ticket,0 days 00:00:00,0.0,31.9894,0.0,1
Case 4207,Assign seriousness,13 days 22:45:26,13.9482,18.0412,15.0002,2
Case 4207,Take in charge ticket,0 days 00:00:18,0.0002,18.041,15.0003,3
Case 4207,Wait,0 days 00:59:14,0.0411,17.9999,17.9999,4
Case 4207,Take in charge ticket,2 days 23:59:25,2.9996,15.0003,18.041,5
Case 4207,Resolve ticket,0 days 00:00:07,0.0001,15.0002,18.0412,6
Case 4207,Closed,15 days 00:00:18,15.0002,0.0,31.9894,7
Case 4392,Assign seriousness,0 days 00:00:29,0.0003,33.0064,-0.0,1
Case 4392,Take in charge ticket,0 days 00:00:08,0.0001,33.0063,30.3133,2
Case 4392,Resolve ticket,2 days 16:37:58,2.693,30.3133,33.0063,3
Case 4392,Closed,30 days 07:31:09,30.3133,-0.0,33.0064,4
Case 707,Assign seriousness,0 days 00:00:00,0.0,31.0055,-0.0,1
Case 707,Take in charge ticket,0 days 00:00:10,0.0001,31.0054,15.9119,2
Case 707,Resolve ticket,15 days 02:14:40,15.0935,15.9119,31.0054,3
Case 707,Closed,15 days 21:53:12,15.9119,-0.0,31.0055,4
Case 1328,Assign seriousness,0 days 00:00:00,0.0,31.0067,0.0,1
Case 1328,Take in charge ticket,0 days 00:00:19,0.0002,31.0065,29.195,2
Case 1328,Wait,1 days 00:51:07,1.0355,29.971,29.2223,3
Case 1328,Take in charge ticket,0 days 17:58:07,0.7487,29.2223,29.971,4
Case 1328,Resolve ticket,0 days 00:39:19,0.0273,29.195,31.0065,5
Case 1328,Closed,29 days 04:40:50,29.195,0.0,31.0067,6
Case 3185,Assign seriousness,0 days 00:00:00,0.0,43.9628,-0.0,1
Case 3185,Take in charge ticket,0 days 00:00:12,0.0001,43.9627,43.7426,2
Case 3185,Create SW anomaly,0 days 05:16:52,0.22,43.7427,43.7427,3
Case 3185,Resolve ticket,0 days 00:00:06,0.0001,43.7426,43.9627,4
Case 3185,Closed,43 days 17:49:20,43.7426,-0.0,43.9628,5
Case 2502,Assign seriousness,0 days 00:00:00,0.0,36.9792,0.0,1
Case 2502,Take in charge ticket,21 days 03:43:54,21.1555,15.8237,14.9586,2
Case 2502,Resolve ticket,0 days 20:45:41,0.8651,14.9586,15.8237,3
Case 2502,Closed,14 days 23:00:22,14.9586,0.0,36.9792,4
Case 1257,Assign seriousness,0 days 00:00:00,0.0,43.9618,-0.0,1
Case 1257,Take in charge ticket,0 days 00:00:08,0.0001,43.9617,43.9608,2
Case 1257,Resolve ticket,0 days 00:01:19,0.0009,43.9608,43.9617,3
Case 1257,Closed,43 days 23:03:29,43.9608,-0.0,43.9618,4
Case 2006,Assign seriousness,0 days 00:00:00,0.0,43.964,-0.0,1
Case 2006,Take in charge ticket,0 days 00:00:28,0.0003,43.9637,43.9636,2
Case 2006,Resolve ticket,0 days 00:00:05,0.0001,43.9636,43.9637,3
Case 2006,Closed,43 days 23:07:32,43.9636,-0.0,43.964,4
Case 1907,Assign seriousness,0 days 00:00:00,0.0,44.2908,-0.0,1
Case 1907,Take in charge ticket,7 days 06:45:38,7.2817,37.0091,14.9585,2
Case 1907,Resolve ticket,0 days 00:45:00,0.0312,36.9779,17.1277,3
Case 1907,Take in charge ticket,0 days 19:00:15,0.7918,36.1861,36.186,4
Case 1907,Wait,0 days 00:00:08,0.0001,36.186,36.1861,5
Case 1907,Take in charge ticket,19 days 01:24:01,19.0583,17.1277,36.9779,6
Case 1907,Resolve ticket,2 days 04:03:37,2.1692,14.9585,37.0091,7
Case 1907,Closed,14 days 23:00:18,14.9585,-0.0,44.2908,8
Case 2369,Assign seriousness,0 days 00:00:00,0.0,47.9604,-0.0,1
Case 2369,Take in charge ticket,1 days 00:18:04,1.0125,46.9479,33.1807,2
Case 2369,Resolve ticket,13 days 18:24:48,13.7672,33.1807,46.9479,3
Case 2369,Closed,33 days 04:20:11,33.1807,-0.0,47.9604,4
Case 3482,Assign seriousness,0 days 00:03:08,0.0022,57.1438,-0.0,1
Case 3482,Take in charge ticket,13 days 04:09:21,13.1732,43.9706,15.0001,2
Case 3482,Wait,0 days 00:00:04,0.0,43.9706,15.0002,3
Case 3482,Take in charge ticket,28 days 23:17:26,28.9704,15.0002,43.9706,4
Case 3482,Resolve ticket,0 days 00:00:07,0.0001,15.0001,43.9706,5
Case 3482,Closed,15 days 00:00:12,15.0001,-0.0,57.1438,6
Case 2004,Assign seriousness,0 days 00:00:00,0.0,32.9635,0.0,1
Case 2004,Take in charge ticket,13 days 06:34:43,13.2741,19.6894,19.053,2
Case 2004,Resolve ticket,0 days 15:16:27,0.6364,19.053,19.6894,3
Case 2004,Closed,19 days 01:16:21,19.053,0.0,32.9635,4
Case 940,Assign seriousness,0 days 00:00:00,0.0,59.9669,0.0,1
Case 940,Take in charge ticket,0 days 00:03:07,0.0022,59.9647,59.9589,2
Case 940,Resolve ticket,0 days 00:08:20,0.0058,59.9589,59.9647,3
Case 940,Closed,59 days 23:00:50,59.9589,0.0,59.9669,4
Case 599,Insert ticket,0 days 00:00:00,0.0,32.959,0.0,1
Case 599,Assign seriousness,3 days 21:10:17,3.8821,29.0769,29.0764,2
Case 599,Take in charge ticket,0 days 00:00:31,0.0004,29.0765,29.0765,3
Case 599,Resolve ticket,0 days 00:00:10,0.0001,29.0764,29.0769,4
Case 599,Closed,29 days 01:50:05,29.0764,0.0,32.959,5
